,dimensions, bond type, name, void fraction [widom], supercell volume [A^3], density [kg/m^3], heat desorption high P [kJ/mol], heat desorption error high P [kJ/mol], absolute methane uptake high P [molec/unit cell], absolute methane uptake error high P [molec/unit cell], absolute methane uptake high P [mol/kg], absolute methane uptake error high P [mol/kg], excess methane uptake high P [molec/unit cell], excess methane uptake error high P [molec/unit cell], excess methane uptake high P [mol/kg], excess methane uptake error high P [mol/kg], heat desorption low P [kJ/mol], heat desorption error low P [kJ/mol], absolute methane uptake low P [molec/unit cell], absolute methane uptake error low P [molec/unit cell], absolute methane uptake low P [mol/kg], absolute methane uptake error low P [mol/kg], excess methane uptake low P [molec/unit cell], excess methane uptake error low P [molec/unit cell], excess methane uptake low P [mol/kg], excess methane uptake error low P [mol/kg], surface area [m^2/g], deliverable capacity [v STP/v], linkerA, linkerB, net, cell_a [A], cell_b [A], cell_c [A], alpha [deg], beta [deg], gamma [deg], chemical formula, num carbon, num fluorine, num hydrogen, num nitrogen, num oxygen, num sulfur, num silicon, vertices, edges, genus, largest included sphere diameter [A], largest free sphere diameter [A], largest included sphere along free sphere path diameter [A], absolute methane uptake high P [v STP/v], absolute methane uptake low P [v STP/v]
1453,3, amide, linker102_NH_linker7_CO_lvt_relaxed,0.91417,62931.28452082208,152.158106139006,8.29767,0.51645,199.9334,1.9351322849,34.671503075,0.3355814735,96.0915425594,1.9351322849,16.6637400921,0.3355814735,8.28645,0.425378,21.2272,1.0185051006,3.6811204635,0.1766243295,13.0164773846,1.0185051006,2.2572558445,0.1766243295,6832.72,105.508745687, linker102_NH, linker7_CO, lvt,39.7761,39.7761,39.7761,90.0,90.0,90.0, C376H288N32O32,376,0,288,32,32,0,0,1,1,5,25.5724,23.4458,25.5724,118.04135645562846,12.532610768219824
1611,3, amide, linker102_NH_linker7_CO_lvt_relaxed_interp_2,0.819536,62931.28452082208,304.316212278015,11.50397,0.859538,289.1958,2.7866672281,25.0754828082,0.2416253146,196.103551863,2.7866672281,17.0036744772,0.2416253146,11.17202,0.466652,43.053,1.269010323,3.7330236516,0.1100328792,35.6922435003,1.269010323,3.0947898907,0.1100328792,5819.51,145.323542709, linker102_NH, linker7_CO, lvt,39.7761,39.7761,39.7761,90.0,90.0,90.0, C752H576N64O64,752,0,576,64,64,0,0,1,1,5,16.14377,13.80486,16.14377,170.7421797120775,25.41863700357108
1612,3, amide, linker102_NH_linker7_CO_lvt_relaxed_interp_3,0.719363,62931.28452082208,456.474318417022,16.34102,0.464158,350.4322,2.3143442786,20.2567640022,0.1337808737,268.7187439754,2.3143442786,15.5333105225,0.1337808737,13.44429,0.436747,77.1058,1.6225744482,4.4571075198,0.093793058,70.6447587792,1.6225744482,4.0836264664,0.093793058,4977.44,161.372832209, linker102_NH, linker7_CO, lvt,39.7761,39.7761,39.7761,90.0,90.0,90.0, C1128H864N96O96,1128,0,864,96,96,0,0,1,1,5,10.76631,10.07677,10.76631,206.89635765563827,45.523525446908685
958,3, amide, linker102_NH_linker80_CO_dia_relaxed,0.862555,45116.0574951424,239.347677079762,9.60375,0.218137,175.141,2.3691787607,26.9324880162,0.3643229089,104.8990071132,2.3691787607,16.1309530721,0.3643229089,9.27203,0.576531,19.1722,0.6502041526,2.9482248402,0.0999858146,13.6182015088,0.6502041526,2.0941529907,0.0999858146,6195.71,128.446426335, linker102_NH, linker80_CO, dia,31.616,31.616,45.1354,90.0,90.0,90.0, C376H320N64O48,376,0,320,64,48,0,0,1,1,3,16.82088,14.8106,16.59731,144.2354852686418,15.789058933267812
1492,3, amide, linker102_NH_linker80_CO_lvt_relaxed,0.901417,61843.09454382136,174.610013294332,8.4507,0.518248,203.0366,2.037816714,31.2221626938,0.3133673682,102.4139284997,2.037816714,15.7488075437,0.3133673682,8.86255,0.538179,21.9688,0.8784417112,3.3782748913,0.1350832807,14.0126167722,0.8784417112,2.1548046048,0.1350832807,6152.46,108.784106331, linker102_NH, linker80_CO, lvt,39.5455,39.5455,39.5455,90.0,90.0,90.0, C376H320N64O48,376,0,320,64,48,0,0,1,1,5,25.39239,22.12785,25.01269,121.9827881243044,13.198681793203813
1665,3, amide, linker102_NH_linker80_CO_lvt_relaxed_interp_2,0.796599,61843.09454382136,349.220026588668,12.36204,0.747757,310.598,2.4045979289,23.8812639898,0.184884764,221.6758701817,2.404597929,17.0442178506,0.184884764,10.92528,0.589044,42.8708,1.5067875232,3.2962507558,0.1158539032,35.8397726252,1.5067875232,2.7556490106,0.1158539032,5825.22,160.848390452, linker102_NH, linker80_CO, lvt,39.5455,39.5455,39.5455,90.0,90.0,90.0, C752H640N128O96,752,0,640,128,96,0,0,1,1,5,13.90854,10.79172,13.90854,186.60482901057088,25.756438558894523
959,3, amide, linker102_NH_linker81_CO_dia_relaxed,0.811787,68923.1412095906,386.633892053783,14.41148,0.333047,405.6736,2.8621193826,25.2790512801,0.178349448,304.6818167038,2.8621193826,18.9858725551,0.178349448,11.79849,0.573254,60.5966,2.2150101038,3.7760025765,0.1380256295,52.6112312911,2.2150101038,3.2784041498,0.1380256295,6008.02,186.022890236, linker102_NH, linker81_CO, dia,45.4331,45.4331,33.3903,90.0,90.0,90.0, C936H576N192O96,936,0,576,192,96,0,0,1,1,3,13.69836,13.00761,13.69836,218.68909131790977,32.6662010816414
1493,3, amide, linker102_NH_linker81_CO_lvt_relaxed,0.932482,61543.789313130495,144.330958687278,8.02759,0.399743,195.4176,1.5227147336,36.5316219599,0.2846582856,91.8310005534,1.5227147336,17.167007457,0.2846582856,7.82258,0.599687,19.5494,0.4852802901,3.6545904276,0.0907189327,11.3588605038,0.4852802901,2.1234402522,0.0907189327,6770.7,106.174083873, linker102_NH, linker81_CO, lvt,39.4816,39.4816,39.4816,90.0,90.0,90.0, C312H192N64O32,312,0,192,64,32,0,0,1,1,5,25.13702,23.7258,25.11877,117.9763291643402,11.802245290960649
1666,3, amide, linker102_NH_linker81_CO_lvt_relaxed_interp_2,0.859849,61543.789313130495,288.66191737456,11.06596,0.408973,290.669,1.7070437604,27.1690216835,0.1595584976,195.1509804055,1.7070437604,18.240889872,0.1595584976,10.43769,0.5082,37.1946,0.6067363183,3.4766036072,0.0567120408,29.6420389905,0.6067363183,2.7706607862,0.0567120408,5964.94,153.026028614, linker102_NH, linker81_CO, lvt,39.4816,39.4816,39.4816,90.0,90.0,90.0, C624H384N128O64,624,0,384,128,64,0,0,1,1,5,15.95664,14.17997,15.95664,175.480927111538,22.454898497919753
1667,3, amide, linker102_NH_linker81_CO_lvt_relaxed_interp_3,0.783065,61543.789313130495,432.992876061843,15.57595,0.356882,368.831,2.4507037356,22.9832499889,0.1527125882,281.8426822677,2.4507037357,17.5626799919,0.1527125882,12.45788,0.17316,65.955,2.2014289905,4.10990468,0.1371793391,59.0768781589,2.2014289905,3.6813029797,0.1371793391,5283.61,182.850463172, linker102_NH, linker81_CO, lvt,39.4816,39.4816,39.4816,90.0,90.0,90.0, C936H576N192O96,936,0,576,192,96,0,0,1,1,5,11.27398,10.60062,10.99472,222.6684160588196,39.81795288700723
2406,3, amide, linker102_NH_linker81_CO_qtz_relaxed,0.856982,44516.545833182965,299.304694913823,11.49729,0.172466,218.4808,3.3426632256,27.2287245062,0.4165878928,149.6200029536,3.3426632256,18.6467728104,0.4165878928,9.72826,0.410329,25.112,0.3442440994,3.129646769,0.0429022951,19.6672119583,0.3442440994,2.4510762329,0.0429022951,6629.18,161.391396573, linker102_NH, linker81_CO, qtz,38.9514,38.9514,33.8801,90.0,90.0,120.0, C468H288N96O48,468,0,288,96,48,0,0,1,1,4,12.57222,9.7662,12.38277,182.35062448817868,20.9592279147932
3135,3, amide, linker102_NH_linker81_CO_qtz_relaxed_interp_2,0.666821,44516.545833182965,598.609389827654,18.33488,0.924801,240.3976,1.0693845707,14.9800806807,0.0666373838,186.8167481883,1.0693845707,11.641255821,0.0666373838,16.19439,0.265944,80.0066,1.8718810219,4.9855128462,0.1166439629,75.7699894215,1.8718810219,4.7215136703,0.1166439629,3388.61,133.867136207, linker102_NH, linker81_CO, qtz,38.9514,38.9514,33.8801,90.0,90.0,120.0, C936H576N192O96,936,0,576,192,96,0,0,1,1,4,7.99621,7.42485,7.99418,200.64304270932624,66.77590650207753
3776,3, amide, linker102_NH_linker81_CO_sod_relaxed,0.906024,69958.46448702333,190.45602654257,8.77999,0.526205,249.512,2.9240265389,31.0960666063,0.3644142326,135.1033510802,2.9240265389,16.8375982074,0.3644142326,8.22781,0.424202,24.897,0.8228807933,3.102851848,0.1025536085,15.8507665809,0.8228807933,1.9754420363,0.1025536085,6506.8,119.292715113, linker102_NH, linker81_CO, sod,41.2028,41.2053,41.206,89.9988,90.0001,90.0012, C468H288N96O48,468,0,288,96,48,0,0,1,1,7,30.06697,14.16829,30.06697,132.51547729757647,13.222762184915176
960,3, amide, linker102_NH_linker82_CO_dia_relaxed,0.896132,44721.06977821516,206.957056872894,9.39888,0.517455,170.788,1.6870926471,30.6417763133,0.3026882188,98.4505731898,1.6870926471,17.6634215612,0.3026882188,8.70837,0.280066,18.4526,0.6000261328,3.31065673,0.1076531521,12.732916619,0.6000261328,2.2844648503,0.1076531521,6896.53,126.562221683, linker102_NH, linker82_CO, dia,31.5173,31.5173,45.0209,90.0,90.0,90.0, C328H224N64O32,328,0,224,64,32,0,0,1,1,3,16.9766,15.22264,16.84233,141.8928805575813,15.330658874144476
1206,3, amide, linker102_NH_linker82_CO_dia_relaxed_interp_2,0.785427,44721.06977821516,413.914113745793,14.77634,0.401056,255.6142,1.0386586734,22.9303965703,0.0931750086,192.2130848437,1.0386586735,17.2428693769,0.0931750086,12.38215,0.639539,43.5908,0.7278553702,3.9104022031,0.0652937602,38.577706216,0.7278553702,3.4606923336,0.0652937602,5970.8,176.151784502, linker102_NH, linker82_CO, dia,31.5173,31.5173,45.0209,90.0,90.0,90.0, C656H448N128O64,656,0,448,128,64,0,0,1,1,3,10.11419,8.12987,10.07677,212.36758524833593,36.21580074623433
1494,3, amide, linker102_NH_linker82_CO_lvt_relaxed,0.924415,61774.154543058095,149.825457749576,8.21763,0.486327,198.0454,1.6195765372,35.5321383627,0.2905748763,94.9705573504,1.6195765372,17.039057631,0.2905748763,7.74839,0.807974,19.9266,0.4644508155,3.575113122,0.0833290278,11.7765248522,0.4644508155,2.1128746766,0.0833290278,6712.06,107.13179627, linker102_NH, linker82_CO, lvt,39.5308,39.5308,39.5308,90.0,90.0,90.0, C328H224N64O32,328,0,224,64,32,0,0,1,1,5,25.20469,23.36812,25.20469,119.11690088241326,11.985104612891336
